match_id,tournament_year,stage,group_name,date,home_team,away_team,home_goals,away_goals,winner,is_draw,went_to_extra_time,went_to_penalties,home_penalties,away_penalties,stadium,city,host_country
M-2010-53,2010,round of 16,not applicable,2010-06-28,Netherlands,Slovakia,2,1,Netherlands,False,0,0,0,0,Moses Mabhida Stadium,Durban,South Africa
M-2010-54,2010,round of 16,not applicable,2010-06-28,Brazil,Chile,3,0,Brazil,False,0,0,0,0,Ellis Park Stadium,Johannesburg,South Africa
M-2010-55,2010,round of 16,not applicable,2010-06-29,Paraguay,Japan,0,0,Draw,True,1,1,5,3,Loftus Versfeld Stadium,Pretoria,South Africa
M-2010-56,2010,round of 16,not applicable,2010-06-29,Spain,Portugal,1,0,Spain,False,0,0,0,0,Cape Town Stadium,Cape Town,South Africa
M-2010-57,2010,quarter-finals,not applicable,2010-07-02,Netherlands,Brazil,2,1,Netherlands,False,0,0,0,0,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa
M-2010-58,2010,quarter-finals,not applicable,2010-07-02,Uruguay,Ghana,1,1,Draw,True,1,1,4,2,Soccer City,Johannesburg,South Africa
M-2010-59,2010,quarter-finals,not applicable,2010-07-03,Argentina,Germany,0,4,Germany,False,0,0,0,0,Cape Town Stadium,Cape Town,South Africa
M-2010-60,2010,quarter-finals,not applicable,2010-07-03,Paraguay,Spain,0,1,Spain,False,0,0,0,0,Ellis Park Stadium,Johannesburg,South Africa
M-2010-61,2010,semi-finals,not applicable,2010-07-06,Uruguay,Netherlands,2,3,Netherlands,False,0,0,0,0,Cape Town Stadium,Cape Town,South Africa
M-2010-62,2010,semi-finals,not applicable,2010-07-07,Germany,Spain,0,1,Spain,False,0,0,0,0,Moses Mabhida Stadium,Durban,South Africa
M-2010-63,2010,third-place match,not applicable,2010-07-10,Uruguay,Germany,2,3,Germany,False,0,0,0,0,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa
M-2010-64,2010,final,not applicable,2010-07-11,Netherlands,Spain,0,1,Spain,False,1,0,0,0,Soccer City,Johannesburg,South Africa
M-2014-01,2014,group stage,Group A,2014-06-12,Brazil,Croatia,3,1,Brazil,False,0,0,0,0,Arena Corinthians,São Paulo,Brazil
M-2014-02,2014,group stage,Group A,2014-06-13,Mexico,Cameroon,1,0,Mexico,False,0,0,0,0,Arena das Dunas,Natal,Brazil
M-2014-03,2014,group stage,Group B,2014-06-13,Spain,Netherlands,1,5,Netherlands,False,0,0,0,0,Arena Fonte Nova,Salvador,Brazil
M-2014-04,2014,group stage,Group B,2014-06-13,Chile,Australia,3,1,Chile,False,0,0,0,0,Arena Pantanal,Cuiabá,Brazil
M-2014-05,2014,group stage,Group C,2014-06-14,Colombia,Greece,3,0,Colombia,False,0,0,0,0,Estádio Mineirão,Belo Horizonte,Brazil
M-2014-06,2014,group stage,Group D,2014-06-14,Uruguay,Costa Rica,1,3,Costa Rica,False,0,0,0,0,Estádio Castelão,Fortaleza,Brazil
M-2014-07,2014,group stage,Group D,2014-06-14,England,Italy,1,2,Italy,False,0,0,0,0,Arena da Amazônia,Manaus,Brazil
M-2014-08,2014,group stage,Group C,2014-06-14,Ivory Coast,Japan,2,1,Ivory Coast,False,0,0,0,0,Arena Pernambuco,Recife,Brazil
M-2014-09,2014,group stage,Group E,2014-06-15,Switzerland,Ecuador,2,1,Switzerland,False,0,0,0,0,Estádio Nacional,Brasília,Brazil
M-2014-10,2014,group stage,Group E,2014-06-15,France,Honduras,3,0,France,False,0,0,0,0,Estádio Beira-Rio,Porto Alegre,Brazil
M-2014-11,2014,group stage,Group F,2014-06-15,Argentina,Bosnia and Herzegovina,2,1,Argentina,False,0,0,0,0,Estádio do Maracanã,Rio de Janeiro,Brazil
M-2014-12,2014,group stage,Group G,2014-06-16,Germany,Portugal,4,0,Germany,False,0,0,0,0,Arena Fonte Nova,Salvador,Brazil
M-2014-13,2014,group stage,Group F,2014-06-16,Iran,Nigeria,0,0,Draw,True,0,0,0,0,Arena da Baixada,Curitiba,Brazil
M-2014-14,2014,group stage,Group G,2014-06-16,Ghana,United States,1,2,United States,False,0,0,0,0,Arena das Dunas,Natal,Brazil
M-2014-15,2014,group stage,Group H,2014-06-17,Belgium,Algeria,2,1,Belgium,False,0,0,0,0,Estádio Mineirão,Belo Horizonte,Brazil
M-2014-16,2014,group stage,Group A,2014-06-17,Brazil,Mexico,0,0,Draw,True,0,0,0,0,Estádio Castelão,Fortaleza,Brazil
M-2014-17,2014,group stage,Group H,2014-06-17,Russia,South Korea,1,1,Draw,True,0,0,0,0,Arena Pantanal,Cuiabá,Brazil
M-2014-18,2014,group stage,Group B,2014-06-18,Australia,Netherlands,2,3,Netherlands,False,0,0,0,0,Estádio Beira-Rio,Porto Alegre,Brazil
M-2014-19,2014,group stage,Group B,2014-06-18,Spain,Chile,0,2,Chile,False,0,0,0,0,Estádio do Maracanã,Rio de Janeiro,Brazil
M-2014-20,2014,group stage,Group A,2014-06-18,Cameroon,Croatia,0,4,Croatia,False,0,0,0,0,Arena da Amazônia,Manaus,Brazil
