team,team_zh,country_code,group,nationality,player_name,jersey_number,position,date_of_birth,age,height_cm,preferred_foot,market_value_eur_m,club,national_caps,national_goals,goal_rate,fifa_ranking,elo,data_source,source_url,squad_status
Mexico,墨西哥,MEX,Group A,墨西哥,Carlos Acevedo,12,Goalkeeper,"April 19, 1996",30,,N/A,,Santos Laguna,7,0,0.0,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Guillermo Ochoa,13,Goalkeeper,"July 13, 1985",40,,N/A,,AEL Limassol,152,0,0.0,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Armando González,14,Forward,"April 20, 2003",23,,N/A,,Guadalajara,7,1,0.143,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Israel Reyes,15,Defender,"May 23, 2000",26,,N/A,,América,34,2,0.059,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Julián Quiñones,16,Forward,"March 24, 1997",29,,N/A,,Al-Qadsiah,22,2,0.091,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Orbelín Pineda,17,Midfielder,"March 24, 1996",30,,N/A,,AEK Athens,92,12,0.13,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Obed Vargas,18,Midfielder,"August 5, 2005",20,,N/A,,Atlético Madrid,6,0,0.0,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Gilberto Mora,19,Midfielder,"October 14, 2008",17,,N/A,,Tijuana,8,0,0.0,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Mateo Chávez,20,Defender,"May 12, 2004",22,,N/A,,AZ,10,0,0.0,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,César Huerta,21,Forward,"December 3, 2000",25,,N/A,,Anderlecht,26,3,0.115,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
