player_name,team,team_zh,nationality,position,age,national_goals,assists,appearances,recent_form,is_key_player,club,data_note
Ardon Jashari,Switzerland,瑞士,瑞士,Midfielder,23,0,0,8,6.5,False,Milan,N/A
Djibril Sow,Switzerland,瑞士,瑞士,Midfielder,29,0,0,52,6.9,False,Sevilla,N/A
Christian Fassnacht,Switzerland,瑞士,瑞士,Forward,32,5,2,23,7.2,False,Young Boys,N/A
Rubén Vargas,Switzerland,瑞士,瑞士,Forward,27,11,5,61,7.5,False,Sevilla,N/A
Eray Cömert,Switzerland,瑞士,瑞士,Defender,28,0,0,22,6.6,False,Valencia,N/A
Noah Okafor,Switzerland,瑞士,瑞士,Forward,26,2,1,25,6.8,False,Leeds United,N/A
Michel Aebischer,Switzerland,瑞士,瑞士,Midfielder,29,2,1,40,6.9,False,Pisa,N/A
Marvin Keller,Switzerland,瑞士,瑞士,Goalkeeper,23,0,0,1,6.4,False,Young Boys,N/A
Fabian Rieder,Switzerland,瑞士,瑞士,Midfielder,24,1,0,28,6.8,False,FC Augsburg,N/A
Zeki Amdouni,Switzerland,瑞士,瑞士,Forward,25,11,5,29,7.6,False,Burnley,N/A
Aurèle Amenda,Switzerland,瑞士,瑞士,Defender,22,0,0,7,6.5,False,Eintracht Frankfurt,N/A
Luca Jaquez,Switzerland,瑞士,瑞士,Defender,23,0,0,3,6.4,False,VfB Stuttgart,N/A
Cedric Itten,Switzerland,瑞士,瑞士,Forward,29,5,2,15,7.4,False,Fortuna Düsseldorf,N/A
Alisson,Brazil,巴西,巴西,Goalkeeper,33,0,0,78,7.2,False,Liverpool,N/A
Éderson Silva,Brazil,巴西,巴西,Midfielder,26,0,0,3,6.4,False,Atalanta,N/A
Gabriel Magalhães,Brazil,巴西,巴西,Defender,28,1,0,17,6.7,False,Arsenal,N/A
Marquinhos,Brazil,巴西,巴西,Defender,32,7,3,105,7.6,False,Paris Saint-Germain,N/A
Casemiro,Brazil,巴西,巴西,Midfielder,34,9,4,86,7.5,False,Manchester United,N/A
Alex Sandro,Brazil,巴西,巴西,Defender,35,2,1,45,7.0,False,Flamengo,N/A
Vinícius Júnior,Brazil,巴西,巴西,Forward,25,9,4,49,7.4,False,Real Madrid,N/A
Bruno Guimarães,Brazil,巴西,巴西,Midfielder,28,3,1,43,7.0,False,Newcastle United,N/A
Matheus Cunha,Brazil,巴西,巴西,Forward,27,1,0,23,6.7,False,Manchester United,N/A
Neymar,Brazil,巴西,巴西,Forward,34,79,33,128,8.9,True,Santos,N/A
Raphinha,Brazil,巴西,巴西,Forward,29,11,5,39,7.5,False,Barcelona,N/A
Weverton,Brazil,巴西,巴西,Goalkeeper,38,0,0,11,6.5,False,Grêmio,N/A
Danilo Luiz,Brazil,巴西,巴西,Defender,34,1,0,70,7.1,False,Flamengo,N/A
Bremer,Brazil,巴西,巴西,Defender,29,1,0,8,6.8,False,Juventus,N/A
Léo Pereira,Brazil,巴西,巴西,Defender,30,0,0,4,6.4,False,Flamengo,N/A
Douglas Santos,Brazil,巴西,巴西,Defender,32,0,0,7,6.5,False,Zenit Saint Petersburg,N/A
Fabinho,Brazil,巴西,巴西,Midfielder,32,0,0,33,6.7,False,Al-Ittihad,N/A
Danilo Santos,Brazil,巴西,巴西,Midfielder,25,2,1,4,7.7,True,Botafogo,N/A
Endrick,Brazil,巴西,巴西,Forward,19,4,2,17,7.2,False,Lyon,N/A
Lucas Paquetá,Brazil,巴西,巴西,Midfielder,28,13,5,63,7.5,False,Flamengo,N/A
Luiz Henrique,Brazil,巴西,巴西,Forward,25,2,1,15,6.9,False,Zenit Saint Petersburg,N/A
Gabriel Martinelli,Brazil,巴西,巴西,Forward,24,4,2,23,7.1,False,Arsenal,N/A
Ederson Moraes,Brazil,巴西,巴西,Goalkeeper,32,0,0,32,6.7,False,Fenerbahçe,N/A
Roger Ibañez,Brazil,巴西,巴西,Defender,27,0,0,7,6.5,False,Al-Ahli,N/A
Igor Thiago,Brazil,巴西,巴西,Forward,24,2,1,4,7.7,True,Brentford,N/A
Rayan,Brazil,巴西,巴西,Forward,19,1,0,2,7.7,False,Bournemouth,N/A
Johny Placide,Haiti,海地,海地,Goalkeeper,38,0,0,81,7.2,False,Bastia,N/A
Carlens Arcus,Haiti,海地,海地,Defender,29,1,0,53,7.0,False,Angers,N/A
Keeto Thermoncy,Haiti,海地,海地,Defender,20,0,0,1,6.4,False,Young Boys,N/A
Ricardo Adé,Haiti,海地,海地,Defender,36,2,1,59,7.1,False,LDU Quito,N/A
Hannes Delcroix,Haiti,海地,海地,Defender,27,0,0,7,6.5,False,Lugano,N/A
Carl Sainté,Haiti,海地,海地,Midfielder,23,0,0,26,6.7,False,El Paso Locomotive FC,N/A
Derrick Etienne Jr.,Haiti,海地,海地,Forward,29,8,3,48,7.3,False,Toronto FC,N/A
Martin Expérience,Haiti,海地,海地,Defender,27,0,0,21,6.6,False,Nancy,N/A
